period,subba,subba-name,parent,parent-name,timezone,value,value-units
2025-10-22,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,Arizona,263541,megawatthours
2025-10-22,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,Central,263916,megawatthours
2025-10-22,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,Eastern,264311,megawatthours
2025-10-22,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,Mountain,263564,megawatthours
2025-10-22,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,Pacific,263541,megawatthours
2025-10-22,SCE,Southern California Edison,CISO,California Independent System Operator,Arizona,291357,megawatthours
2025-10-22,SCE,Southern California Edison,CISO,California Independent System Operator,Central,292184,megawatthours
2025-10-22,SCE,Southern California Edison,CISO,California Independent System Operator,Eastern,292851,megawatthours
2025-10-22,SCE,Southern California Edison,CISO,California Independent System Operator,Mountain,291899,megawatthours
2025-10-22,SCE,Southern California Edison,CISO,California Independent System Operator,Pacific,291357,megawatthours
2025-10-22,SDGE,San Diego Gas and Electric,CISO,California Independent System Operator,Arizona,52304,megawatthours
2025-10-22,SDGE,San Diego Gas and Electric,CISO,California Independent System Operator,Central,52381,megawatthours
2025-10-22,SDGE,San Diego Gas and Electric,CISO,California Independent System Operator,Eastern,52473,megawatthours
2025-10-22,SDGE,San Diego Gas and Electric,CISO,California Independent System Operator,Mountain,52345,megawatthours
2025-10-22,SDGE,San Diego Gas and Electric,CISO,California Independent System Operator,Pacific,52304,megawatthours
2025-10-22,VEA,Valley Electric Association,CISO,California Independent System Operator,Arizona,1975,megawatthours
2025-10-22,VEA,Valley Electric Association,CISO,California Independent System Operator,Central,1975,megawatthours
2025-10-22,VEA,Valley Electric Association,CISO,California Independent System Operator,Eastern,1976,megawatthours
2025-10-22,VEA,Valley Electric Association,CISO,California Independent System Operator,Mountain,1975,megawatthours
2025-10-22,VEA,Valley Electric Association,CISO,California Independent System Operator,Pacific,1975,megawatthours
2025-10-21,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,Arizona,257323,megawatthours
2025-10-21,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,Central,257152,megawatthours
2025-10-21,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,Eastern,257135,megawatthours
2025-10-21,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,Mountain,257244,megawatthours
2025-10-21,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,Pacific,257323,megawatthours
2025-10-21,SCE,Southern California Edison,CISO,California Independent System Operator,Arizona,295956,megawatthours
2025-10-21,SCE,Southern California Edison,CISO,California Independent System Operator,Central,295811,megawatthours
2025-10-21,SCE,Southern California Edison,CISO,California Independent System Operator,Eastern,296018,megawatthours
2025-10-21,SCE,Southern California Edison,CISO,California Independent System Operator,Mountain,295967,megawatthours
2025-10-21,SCE,Southern California Edison,CISO,California Independent System Operator,Pacific,295956,megawatthours
2025-10-21,SDGE,San Diego Gas and Electric,CISO,California Independent System Operator,Arizona,52473,megawatthours
2025-10-21,SDGE,San Diego Gas and Electric,CISO,California Independent System Operator,Central,52448,megawatthours
2025-10-21,SDGE,San Diego Gas and Electric,CISO,California Independent System Operator,Eastern,52417,megawatthours
2025-10-21,SDGE,San Diego Gas and Electric,CISO,California Independent System Operator,Mountain,52447,megawatthours
